reclat,reclon
42.94728907,-78.81874253
42.9472935,-78.81871444
42.9473012,-78.81869225
42.94730239,-78.8186707
42.94729827,-78.81863254
42.94730425,-78.81860113
42.94731042,-78.81855576
42.9473045,-78.81851705
42.94729156,-78.81849021
42.94728744,-78.81846528
42.94727456,-78.81844057
42.94726636,-78.81841712
42.94726191,-78.81838265
42.94726129,-78.81834385
42.9472636,-78.81831409
42.94725047,-78.81827637
42.94725253,-78.81823979
42.94724983,-78.81821238
42.9472435,-78.81818918
42.94725295,-78.81815528
42.94725932,-78.81811122
42.94725852,-78.81807849
42.94726293,-78.81804433
42.9472609,-78.81801954
42.9472475,-78.81798369
42.94723643,-78.81794593
42.94723641,-78.81790476
42.94722857,-78.8178814
42.94722682,-78.81784808
42.94723035,-78.81782047
42.94723032,-78.81777793
42.94722511,-78.81773679
42.94721094,-78.81770169
42.94720482,-78.81766508
42.94718855,-78.8176373
42.9471854,-78.81760248
42.9471956,-78.81757644
42.9471897,-78.81753799
