reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.83186657,42.95091585,0,0,83,196.9495986,2020/11/03 19:03:40+00,,,,,,,,,,,,,,,,,,,,,
-78.83183391,42.95092612,0,0,84,197.271971,2020/11/03 19:03:42+00,,,,,,,,,,,,,,,,,,,,,
-78.83184017,42.95090271,0,0,85,197.1425703,2020/11/03 19:03:44+00,,,,,,,,,,,,,,,,,,,,,
-78.83185304,42.95092036,0,0,86,197.2669331,2020/11/03 19:03:49+00,,,,,,,,,,,,,,,,,,,,,
-78.83183805,42.95093997,0,0,87,197.0215859,2020/11/03 19:03:50+00,,,,,,,,,,,,,,,,,,,,,
-78.83183628,42.95095802,0,0,88,197.2175975,2020/11/03 19:03:51+00,,,,,,,,,,,,,,,,,,,,,
-78.83183983,42.95097712,0,0,89,197.3254267,2020/11/03 19:03:52+00,,,,,,,,,,,,,,,,,,,,,
-78.83185325,42.95100342,0,0,90,196.8388653,2020/11/03 19:03:54+00,,,,,,,,,,,,,,,,,,,,,
-78.8318604,42.95102462,0,0,91,196.7108457,2020/11/03 19:03:56+00,,,,,,,,,,,,,,,,,,,,,
-78.83185599,42.95105968,0,0,92,196.588451,2020/11/03 19:03:58+00,,,,,,,,,,,,,,,,,,,,,
-78.83185953,42.95108585,0,0,93,196.1061718,2020/11/03 19:04:00+00,,,,,,,,,,,,,,,,,,,,,
-78.83187545,42.9511035,0,0,94,196.9227992,2020/11/03 19:04:02+00,,,,,,,,,,,,,,,,,,,,,
-78.83188989,42.95113344,0,0,95,196.4172364,2020/11/03 19:04:04+00,,,,,,,,,,,,,,,,,,,,,
-78.83189601,42.9511513,0,0,96,196.1124662,2020/11/03 19:04:05+00,,,,,,,,,,,,,,,,,,,,,
-78.83189833,42.9511773,0,0,97,196.0232716,2020/11/03 19:04:06+00,,,,,,,,,,,,,,,,,,,,,
-78.83191263,42.95121085,0,0,98,194.7548737,2020/11/03 19:04:08+00,,,,,,,,,,,,,,,,,,,,,
-78.83192701,42.95123631,0,0,99,196.4900231,2020/11/03 19:04:09+00,,,,,,,,,,,,,,,,,,,,,
-78.8319422,42.95126806,0,0,100,195.5952243,2020/11/03 19:04:11+00,,,,,,,,,,,,,,,,,,,,,
-78.83195691,42.95129069,0,0,101,195.4634319,2020/11/03 19:04:13+00,,,,,,,,,,,,,,,,,,,,,
-78.8319719,42.95131589,0,0,102,195.3549327,2020/11/03 19:04:15+00,,,,,,,,,,,,,,,,,,,,,
-78.83198075,42.95133706,0,0,103,194.9172925,2020/11/03 19:04:17+00,,,,,,,,,,,,,,,,,,,,,
