reclat,reclon,,,,
42.94549018,-78.81926707,,,,
42.94550113,-78.819382,,,,
42.94551171,-78.81949462,,,,
42.94552273,-78.81960545,,,,
42.94553346,-78.81971396,,,,
42.94554305,-78.81982081,,,,
42.94555378,-78.8199279,,,,
42.94556268,-78.82003891,,,,
42.94557385,-78.82015785,,,,
42.94558401,-78.82028585,,,,
42.94559525,-78.82041803,,,,
42.94560766,-78.8205484,,,,
42.94561922,-78.82067722,,,,
42.94563147,-78.82080262,,,,
42.94564564,-78.82092381,,,,
42.94565913,-78.82104094,,,,
42.94567158,-78.8211525,,,,
42.94568197,-78.82125377,,,,
42.94568863,-78.82133534,,,,
42.94569246,-78.82138915,,,,
42.94569528,-78.82142809,,,,
42.94568291,-78.82145474,,,,
42.9456876,-78.82150897,,,,
42.94569165,-78.82155593,,,,
42.94569716,-78.82161961,,,,
42.94570389,-78.82169761,,,,
42.94571083,-78.8217797,,,,
42.94571811,-78.82186515,,,,
42.94572581,-78.82195543,,,,
42.94573429,-78.822055,,,,
42.94574354,-78.82216358,,,,
42.94575316,-78.82227645,,,,
42.94576284,-78.82239005,,,,
42.94577286,-78.8225076,,,,
42.94578274,-78.82262363,,,,
42.94579314,-78.82274563,,,,
42.94580383,-78.82287108,,,,
42.94581454,-78.82299683,,,,
42.94582514,-78.82312121,,,,
42.94583574,-78.8232456,,,,
42.94584644,-78.82337117,,,,
42.94585681,-78.82349285,,,,
42.94586675,-78.82360953,,,,
42.94587628,-78.82372131,,,,
42.94588581,-78.82383319,,,,
42.94589518,-78.82394322,,,,
42.94590482,-78.82405634,,,,
42.94591464,-78.8241716,,,,
42.94592444,-78.82428661,,,,
42.94593425,-78.82440169,,,,
42.94594398,-78.82451584,,,,
42.94595371,-78.82463005,,,,
42.94596336,-78.82474333,,,,
42.94597302,-78.82485669,,,,
42.94598267,-78.8249699,,,,
42.94599204,-78.8250799,,,,
42.9460013,-78.82518862,,,,
42.94600994,-78.82528995,,,,
42.94601675,-78.82538338,,,,
42.94602179,-78.82546786,,,,
42.94602622,-78.82554214,,,,
42.94602684,-78.82560495,,,,
42.94602806,-78.82566051,,,,
42.94602909,-78.82570731,,,,
42.94602969,-78.82573417,,,,
